point of comparison,2_blocks,4_blocks,6_blocks,10_blocks
configuration_1,8,6,43,10
configuration_2,5,13,8,20
configuation_3,8,17,18,27
configuration_4,37,34,23,13
configuration_5,5,77,95,4
configuration_6,320,17,38,8
configuration_7,9,36,8,2
configuration_8,12,22,69,56
configuration_9,41,193,5,11
configuration_10,72,2,24,35
configuration_11,8,513,6,241
configuration_12,11,114,88,2
configuration_13,186,550,14,0
configuration_14,1,136,0,7
configuration_15,0,60,864,3
configuration_16,2,196,1,2
configuration_17,0,0,0,2
configuration_18,39,31,0,0
configuration_19,0,18,0,0
configuration_20,0,7,22,0